building_id,resource_name,tag,description,category,address,building_room,email,url,phone,audience,thematic_area
1005101,"Science, Technology, and Public Policy (STPP) Program",Program,"The Science, Technology, and Public Policy (STPP) Program advances social equity and justice in the governance of science and technology through education, research, and policy engagement. Its AI-focused work spans student training on AI's societal impacts, research on AI's social and justice implications, and partnerships that equip non-profits, government agencies, and advocacy organizations to make informed AI decisions.","Ethics, Society & Policy; Applied & Domain Focused Research","735 South State Street, Ann Arbor, MI 48109","Weill Hall, Gerald R. Ford School of Public Policy",stpp@umich.edu,https://stpp.fordschool.umich.edu/topic-areas/artificial-intelligence,(734) 764-0453,Faculty; Graduate,Ethics & Policy
,AI Institutes at Michigan (AIIM),Support Resource,"AI Institutes at Michigan (AIIM) is the connective architecture that brings together the University of Michigan's AI ecosystem for researchers, partners, and society alike.",AI Research; Development & Methods; Applied & Domain Focused Research,Remote,,AIIM-Info@umich.edu,https://aiim.umich.edu/,,Faculty; Graduate,AI & Machine Learning
1000165,Michigan Institute for Data & AI in Society,Institute,"The Michigan Institute for Data & AI in Society (MIDAS) advances data science and AI to achieve lasting scientific and societal impact. With more than 700 affiliated faculty and a community of over 1,000 students and postdocs across 70 campus units, MIDAS is one of the largest data science and AI institutes at a U.S. university, offering a broad portfolio of research, training, and partnership programs.",AI Research; Development & Methods; Consulting & Support,"500 Church Street, Ann Arbor, MI 48109-1042","Weiser Hall, Suite 600",midas-research@umich.edu,https://midas.umich.edu/,,Faculty; Undergraduate; Graduate,AI & Machine Learning; Data Science & Statistics
1005092,AI Connections,Network/Community,"AI Connections is Michigan's social AI research network, designed to connect AI scholars, including faculty, students, postdocs, and alumni, with company collaborators and partners across the broader AI ecosystem. The platform helps members of the Michigan AI community discover one another, identify shared interests, and form interdisciplinary and industry partnerships.",AI Development; Research & Methods; Consulting & Support,"2260 Hayward Street, Ann Arbor, MI 48109-2121",Bob and Betty Beyster Building,ailabadmin@umich.edu,https://aiconnections.umich.edu/,,Faculty; Graduate,AI & Machine Learning
1005092,Human Centered Computing Lab,Lab,"The Human Centered Computing (HCC) Lab at the University of Michigan investigates human-computer interaction (HCI), educational technology, multimedia, and social computing. Its faculty cover a broad range of HCI topics, from foundational research to emerging technologies and services.",AI Research,"2260 Hayward Street, Ann Arbor, MI 48109-2121",Bob and Betty Beyster Building,apsample@umich.edu,https://hcc.engin.umich.edu/,,Faculty; Graduate,Human-Computer Interaction
1000165,Schmidt AI in Science Postdoctoral Fellowship,Fellowship,"The Schmidt AI in Science Postdoctoral Fellowship, funded by Schmidt Sciences, gives outstanding early-career researchers intensive training in applying AI methodologies to scientific research. The program catalyzes transformative AI-driven scientific breakthroughs, helps the broader U-M research community adopt AI across science and engineering, and collaborates with other sites to maximize impact.",Funding & Project Development,"500 Church Street, Ann Arbor, MI 48109-1042","Weiser Hall, Suite 600", schmidt-aim@umich.edu,https://midas.umich.edu/training/postdoctoral-programs/schmidt-ai-in-science-postdoctoral-fellowship/,,Graduate; Faculty,AI & Machine Learning
BLD-034725,Center for Academic Innovation,Center,"The University of Michigan Center for Academic Innovation (CAI) brings educational opportunities to a global network of lifelong learners through curricular innovation and learning technologies. CAI offers learning experience design, educational technology platforms like Atlas, and integration of AI and extended-reality tools into teaching. It also provides policy guidance on digital privacy, vendor licensing, and analytics data governance.",Consulting & Support,"317 Maynard Street, Ann Arbor, MI 48104",,academicinnovation@umich.edu,https://ai.umich.edu/,(734) 764-7351,Faculty,Education
1000181,Deep Blue Repositories,Support Resource,"Deep Blue Repositories give the University of Michigan community safe, durable access to the research, teaching, learning, and creative work that makes U-M a leader in these areas, whether that work takes the form of documents or data.",Computing & Technical Resources,"913 South University Avenue, Ann Arbor, MI 48109",Hatcher Graduate Library,deepblue@umich.edu,https://www.lib.umich.edu/collections/deep-blue-repositories,,Faculty; Graduate; Undergraduate,Computing Infrastructure
1000890,ICPSR,Center,"ICPSR is an international consortium of more than 800 academic and research organizations that provides leadership and training in data access, curation, and analytical methods for social science. Collaborating with funders including federal agencies, ICPSR develops themed data collections and has run the Summer Program in Quantitative Methods since 1963, training researchers in statistics, data analysis, and research methods.",Research & Methods,"330 Packard Street, Ann Arbor, MI 48104",Perry Building,ICPSR-help@umich.edu,https://www.icpsr.umich.edu/,,Faculty; Graduate,Data Science & Statistics
1005418,Michigan Robotics,Department,"The Robotics Department at the University of Michigan develops the next generation of robotics and roboticists as force-multipliers for society. Its research spans foundational methods and real-world applications, with core areas advancing the underlying science of robotics and application areas bringing those capabilities to specific domains and challenges.",Applied & Domain Focused Research,"2505 Hayward Street, Ann Arbor, MI 48109-2106",Ford Motor Company Robotics Building,robotics-contact@umich.edu,https://robotics.umich.edu/,,Faculty; Graduate; Undergraduate,Robotics & Autonomy
1005381,Mcity,Center,"Mcity operates a world-class test facility with mixed-reality testing capabilities, a data engine, and renowned talent, serving as the University of Michigan's hub for research, development, and deployment of next-generation mobility innovations.",Applied & Domain Focused Research,"2905 Baxter Road, Ann Arbor, MI 48109",,,https://mcity.umich.edu/,,Faculty; Graduate,Robotics & Autonomy
1005504,School of Information (SI),School,"The University of Michigan School of Information (UMSI) delivers innovative, ethical solutions connecting people, information, and technology, and was among the first iSchools in the nation. UMSI's interdisciplinary faculty and students study artificial intelligence alongside human-computer interaction, spanning fields from computer science to public health. The school is based in the Leinweber Computer Science and Information Building on North Campus.",AI Research,"2200 Hayward Street, Ann Arbor, MI 48109",Leinweber Computer Science and Information Building,umsi.research.office@umich.edu,https://www.si.umich.edu/research/research-areas/artificial-intelligence,(734) 647-6333,Faculty; Graduate; Undergraduate,Human-Computer Interaction
1000167,Department of Statistics,Department,"The Department of Statistics at the University of Michigan is recognized as a leader in international statistical education and research, with programs spanning undergraduate and graduate study in statistics and data science. Its faculty are renowned researchers and educators working on some of today's most relevant problems, training the next generation of leaders in the field.",Research & Methods,"1085 South University Avenue, Ann Arbor, MI 48109-1107","West Hall, Room 323",stat-um@umich.edu,https://lsa.umich.edu/stats,,Faculty; Graduate; Undergraduate,Data Science & Statistics
1000204,Department of Biostatistics,Department,"The Department of Biostatistics at the University of Michigan School of Public Health is rated among the nation's top biostatistics programs by U.S. News & World Report. Its faculty, students, and staff bring biostatistical design and analysis expertise to a wide range of health research, including clinical trials, machine learning, statistical genetics, and survival analysis.",Research & Methods,"1415 Washington Heights, Ann Arbor, MI 48109-2029",Vaughan SPH-I,sph.bio.inquiries@umich.edu,https://sph.umich.edu/biostat/,,Faculty; Graduate,Health; Data Science & Statistics
1000190,Department of Computational Medicine & Bioinformatics,Department,"The Gilbert S. Omenn Department of Computational Medicine and Bioinformatics (DCMB) advances the understanding of biological mechanisms and accelerates biomedical discovery and translational research. DCMB develops computational and biomedical data science methods, including novel AI and machine learning approaches, while training the next generation of innovators in an interdisciplinary research culture.",Applied & Domain Focused Research,"1301 Catherine Street, Ann Arbor, MI 48109-2218","Medical Sciences Building I, B-Wing",dcmb-gradbioinfo@med.umich.edu,https://medschool.umich.edu/departments/computational-medicine-bioinformatics,,Faculty; Graduate,Health; AI & Machine Learning
1000065,Department of Learning Health Sciences,Department,"The Department of Learning Health Sciences (DLHS) is a first-in-the-nation basic science department focused on the sciences of learning across individual, group, organizational, regional, and national scales. DLHS works to improve health by advancing the sciences that make learning effective, routine, and efficient, pursuing three goals: advancing research, providing education, and offering service programs.",Applied & Domain Focused Research,"1111 East Catherine Street, Ann Arbor, MI 48109","Victor Vaughan Building, Room 209",learning.health.sciences@umich.edu,https://medschool.umich.edu/departments/learning-health-sciences,,Faculty; Graduate,Health
1005256,"Trust, Innovation & Ethics Research for Responsible AI (TIERRA)",Program,"TIERRA is a collaborative space that harnesses the knowledge and influence of health AI stakeholders. Drawing on the expertise of academic faculty and students, industry professionals, policymakers, and community members, TIERRA creates collaborations, research, roadmaps, and resources that inform best practices and policies for developing and applying AI in healthcare.","Ethics, Society & Policy","2800 Plymouth Road, Ann Arbor, MI 48109","NCRC Bldg 16, Room B014-G017",mi-tierra@umich.edu,https://medresearch.umich.edu/labs-departments/labs/TIERRA,,Faculty; Graduate,Health; Ethics & Policy
1005258,Center for Data-Driven Drug Development and Treatment Assessment (DATA),Center,"The Center for Data-Driven Drug Development and Treatment Assessment (DATA) aims to strengthen the national research infrastructure and grow the engineering and scientific workforce through its research. DATA develops new methodologies for industry-wide collaborative drug discovery to reduce costs and speed new medicines, focusing on machine learning for drug discovery, a secure data hub for pharmaceutical and patient data, and privacy-preserving federated learning across encrypted databases.",AI Research; Applied & Domain Focused Research,"2800 Plymouth Road, Ann Arbor, MI 48109","NCRC Bldg 18, Room 155", data-iucrc@umich.edu,https://midas.umich.edu/collaboration/data/,,Faculty; Graduate,Health; AI & Machine Learning
1000395,"Center for Prediction, Reasoning & Intelligence for Multiphysics Exploration (C-PRIME)",Lab,"C-PRIME aims to revolutionize predictive science by uncovering how small-scale physics shapes emergent behavior across complex physical systems, using a rotating detonation combustor as its target application. The center develops autonomous AI agents and new algorithms to systematically refine combinations of physics, simulations, and computing infrastructure, shrinking the time from scientific inquiry to actionable predictive insight.",AI Research; Applied & Domain Focused Research,"1320 Beal Avenue, Ann Arbor, MI 48109-2140",Francois-Xavier Bagnoud Building (FXB),ramanvr@umich.edu,https://c-prime.engin.umich.edu/,,Faculty; Graduate,Physical Sciences & Engineering; AI & Machine Learning
1005281,Center for Complex Particle Systems (COMPASS),Lab,"The Center for Complex Particle Systems (COMPASS) creates, measures, and models complex materials by combining molecular, nano-, and microscale components. By integrating order and disorder, COMPASS develops simple chemical pathways toward sustainable, multifunctional, intelligent materials, bridging graph theory, network physics, and particle science to address technological, medical, and environmental challenges.",AI Research; Applied & Domain Focused Research,"2800 Plymouth Road, Ann Arbor, MI 48109",NCRC Bldg 520,compass-stc@umich.edu,https://compass.engin.umich.edu/,(734) 936-9905,Faculty; Graduate,Physical Sciences & Engineering
